MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Aluminium,1,HDFCBANK,0.69,0.046,Moderate
Aluminium,2,ICICIBANK,0.62,0.0413,Moderate
Aluminium,3,RELIANCE,0.38,0.0253,Moderate
Aluminium,4,SBIN,2.42,0.1613,Moderate
Aluminium,5,LT,-1.12,0.2853,Moderate
Aluminium,6,M&M,1.34,0.5693,Positive
Aluminium,7,AXISBANK,1.48,0.0987,Moderate
Aluminium,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Aluminium,9,INFY,-1.58,-0.1053,Moderate
Aluminium,10,TCS,-2.76,-0.184,Moderate
Aluminium,11,TATASTEEL,-0.35,-0.0233,Moderate
Aluminium,12,BHARTIARTL,0.25,0.0167,Moderate
Aluminium,13,KOTAKBANK,1.27,0.0847,Moderate
Aluminium,14,BAJFINANCE,-0.3,-0.02,Moderate
Aluminium,15,ITC,2.38,0.1587,Moderate
Aluminium,16,BEL,0.74,0.2893,Moderate
Aluminium,17,HCLTECH,-0.06,-0.004,Moderate
Aluminium,18,MARUTI,-0.53,0.4847,Moderate
Aluminium,19,TMPV,-0.86,0.4627,Moderate
Aluminium,20,ETERNAL,0.56,0.0373,Moderate
Aluminium,21,BAJAJ-AUTO,1.48,0.6187,Positive
Aluminium,22,HINDALCO,1.46,0.8973,Positive
Aluminium,23,COALINDIA,0.72,0.048,Moderate
Aluminium,24,GRASIM,0.5,0.2333,Moderate
Aluminium,25,JIOFIN,-0.34,-0.0227,Moderate
Aluminium,26,ULTRACEMCO,0.03,0.002,Moderate
Aluminium,27,SUNPHARMA,1.01,0.0673,Moderate
Aluminium,28,INDIGO,-0.89,-0.0593,Moderate
Aluminium,29,EICHERMOT,0.64,0.4827,Moderate
Aluminium,30,TECHM,-1.14,-0.076,Moderate
Aluminium,31,NESTLEIND,1.65,0.11,Moderate
Aluminium,32,ADANIENT,-0.29,0.2607,Moderate
Aluminium,33,JSWSTEEL,1.6,0.1067,Moderate
Aluminium,34,NTPC,-0.76,-0.0507,Moderate
Aluminium,35,HDFCLIFE,2.73,0.182,Moderate
Aluminium,36,ONGC,0.36,0.024,Moderate
Aluminium,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Aluminium,38,HINDUNILVR,1.23,0.082,Moderate
Aluminium,39,POWERGRID,0.0,0.24,Moderate
Aluminium,40,WIPRO,-1.83,-0.122,Moderate
Aluminium,41,TITAN,1.08,0.072,Moderate
Aluminium,42,ADANIPORTS,0.58,0.0387,Moderate
Aluminium,43,TRENT,1.45,0.0967,Moderate
Aluminium,44,MAXHEALTH,-0.49,-0.0327,Moderate
Aluminium,45,TATACONSUM,1.42,0.0947,Moderate
Aluminium,46,ASIANPAINT,0.57,0.038,Moderate
Aluminium,47,SBILIFE,2.65,0.1767,Moderate
Aluminium,48,DRREDDY,-0.44,-0.0293,Moderate
Aluminium,49,CIPLA,0.52,0.0347,Moderate
Aluminium,50,BAJAJFINSV,-1.0,-0.0667,Moderate
