MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Copper,1,HDFCBANK,0.69,0.046,Moderate
Copper,2,ICICIBANK,0.62,0.0413,Moderate
Copper,3,RELIANCE,0.38,0.0253,Moderate
Copper,4,SBIN,2.42,0.1613,Moderate
Copper,5,LT,-1.12,0.3653,Moderate
Copper,6,M&M,1.34,0.4493,Moderate
Copper,7,AXISBANK,1.48,0.0987,Moderate
Copper,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Copper,9,INFY,-1.58,-0.1053,Moderate
Copper,10,TCS,-2.76,-0.184,Moderate
Copper,11,TATASTEEL,-0.35,-0.0233,Moderate
Copper,12,BHARTIARTL,0.25,0.2167,Moderate
Copper,13,KOTAKBANK,1.27,0.0847,Moderate
Copper,14,BAJFINANCE,-0.3,-0.02,Moderate
Copper,15,ITC,2.38,0.1587,Moderate
Copper,16,BEL,0.74,0.3293,Moderate
Copper,17,HCLTECH,-0.06,-0.004,Moderate
Copper,18,MARUTI,-0.53,0.3247,Moderate
Copper,19,TMPV,-0.86,0.3027,Moderate
Copper,20,ETERNAL,0.56,0.0373,Moderate
Copper,21,BAJAJ-AUTO,1.48,0.4587,Moderate
Copper,22,HINDALCO,1.46,0.3773,Moderate
Copper,23,COALINDIA,0.72,0.048,Moderate
Copper,24,GRASIM,0.5,0.0333,Moderate
Copper,25,JIOFIN,-0.34,-0.0227,Moderate
Copper,26,ULTRACEMCO,0.03,0.002,Moderate
Copper,27,SUNPHARMA,1.01,0.0673,Moderate
Copper,28,INDIGO,-0.89,-0.0593,Moderate
Copper,29,EICHERMOT,0.64,0.3627,Moderate
Copper,30,TECHM,-1.14,-0.076,Moderate
Copper,31,NESTLEIND,1.65,0.11,Moderate
Copper,32,ADANIENT,-0.29,-0.0193,Moderate
Copper,33,JSWSTEEL,1.6,0.1067,Moderate
Copper,34,NTPC,-0.76,-0.0507,Moderate
Copper,35,HDFCLIFE,2.73,0.182,Moderate
Copper,36,ONGC,0.36,0.024,Moderate
Copper,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Copper,38,HINDUNILVR,1.23,0.082,Moderate
Copper,39,POWERGRID,0.0,0.28,Moderate
Copper,40,WIPRO,-1.83,-0.122,Moderate
Copper,41,TITAN,1.08,0.072,Moderate
Copper,42,ADANIPORTS,0.58,0.0387,Moderate
Copper,43,TRENT,1.45,0.0967,Moderate
Copper,44,MAXHEALTH,-0.49,-0.0327,Moderate
Copper,45,TATACONSUM,1.42,0.0947,Moderate
Copper,46,ASIANPAINT,0.57,0.038,Moderate
Copper,47,SBILIFE,2.65,0.1767,Moderate
Copper,48,DRREDDY,-0.44,-0.0293,Moderate
Copper,49,CIPLA,0.52,0.0347,Moderate
Copper,50,BAJAJFINSV,-1.0,-0.0667,Moderate
