MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Crude Oil,1,HDFCBANK,0.69,0.046,Moderate
Crude Oil,2,ICICIBANK,0.62,0.0413,Moderate
Crude Oil,3,RELIANCE,0.38,0.7453,Positive
Crude Oil,4,SBIN,2.42,0.1613,Moderate
Crude Oil,5,LT,-1.12,-0.0747,Moderate
Crude Oil,6,M&M,1.34,-0.4493,Moderate
Crude Oil,7,AXISBANK,1.48,0.0987,Moderate
Crude Oil,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Crude Oil,9,INFY,-1.58,-0.1053,Moderate
Crude Oil,10,TCS,-2.76,-0.184,Moderate
Crude Oil,11,TATASTEEL,-0.35,-0.0233,Moderate
Crude Oil,12,BHARTIARTL,0.25,0.0167,Moderate
Crude Oil,13,KOTAKBANK,1.27,0.0847,Moderate
Crude Oil,14,BAJFINANCE,-0.3,-0.02,Moderate
Crude Oil,15,ITC,2.38,-0.2787,Moderate
Crude Oil,16,BEL,0.74,0.0493,Moderate
Crude Oil,17,HCLTECH,-0.06,-0.004,Moderate
Crude Oil,18,MARUTI,-0.53,-0.3247,Moderate
Crude Oil,19,TMPV,-0.86,-0.3027,Moderate
Crude Oil,20,ETERNAL,0.56,-0.1573,Moderate
Crude Oil,21,BAJAJ-AUTO,1.48,-0.4587,Moderate
Crude Oil,22,HINDALCO,1.46,0.0973,Moderate
Crude Oil,23,COALINDIA,0.72,0.048,Moderate
Crude Oil,24,GRASIM,0.5,-0.1933,Moderate
Crude Oil,25,JIOFIN,-0.34,-0.0227,Moderate
Crude Oil,26,ULTRACEMCO,0.03,-0.202,Moderate
Crude Oil,27,SUNPHARMA,1.01,-0.1873,Moderate
Crude Oil,28,INDIGO,-0.89,-0.6607,Negative
Crude Oil,29,EICHERMOT,0.64,-0.3627,Moderate
Crude Oil,30,TECHM,-1.14,-0.076,Moderate
Crude Oil,31,NESTLEIND,1.65,-0.23,Moderate
Crude Oil,32,ADANIENT,-0.29,0.2607,Moderate
Crude Oil,33,JSWSTEEL,1.6,0.1067,Moderate
Crude Oil,34,NTPC,-0.76,-0.0507,Moderate
Crude Oil,35,HDFCLIFE,2.73,0.182,Moderate
Crude Oil,36,ONGC,0.36,0.784,Positive
Crude Oil,37,APOLLOHOSP,-0.2,-0.0667,Moderate
Crude Oil,38,HINDUNILVR,1.23,-0.282,Moderate
Crude Oil,39,POWERGRID,0.0,0.0,Moderate
Crude Oil,40,WIPRO,-1.83,-0.122,Moderate
Crude Oil,41,TITAN,1.08,0.072,Moderate
Crude Oil,42,ADANIPORTS,0.58,0.3187,Moderate
Crude Oil,43,TRENT,1.45,0.0967,Moderate
Crude Oil,44,MAXHEALTH,-0.49,-0.0327,Moderate
Crude Oil,45,TATACONSUM,1.42,-0.1747,Moderate
Crude Oil,46,ASIANPAINT,0.57,-0.398,Moderate
Crude Oil,47,SBILIFE,2.65,0.1767,Moderate
Crude Oil,48,DRREDDY,-0.44,-0.0507,Moderate
Crude Oil,49,CIPLA,0.52,-0.1147,Moderate
Crude Oil,50,BAJAJFINSV,-1.0,-0.0667,Moderate
