MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Electricity,1,HDFCBANK,0.69,0.046,Moderate
Electricity,2,ICICIBANK,0.62,0.0413,Moderate
Electricity,3,RELIANCE,0.38,0.0253,Moderate
Electricity,4,SBIN,2.42,0.1613,Moderate
Electricity,5,LT,-1.12,0.2453,Moderate
Electricity,6,M&M,1.34,0.0893,Moderate
Electricity,7,AXISBANK,1.48,0.0987,Moderate
Electricity,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Electricity,9,INFY,-1.58,-0.1053,Moderate
Electricity,10,TCS,-2.76,-0.184,Moderate
Electricity,11,TATASTEEL,-0.35,0.2567,Moderate
Electricity,12,BHARTIARTL,0.25,0.2167,Moderate
Electricity,13,KOTAKBANK,1.27,0.0847,Moderate
Electricity,14,BAJFINANCE,-0.3,-0.02,Moderate
Electricity,15,ITC,2.38,0.1587,Moderate
Electricity,16,BEL,0.74,0.2493,Moderate
Electricity,17,HCLTECH,-0.06,-0.004,Moderate
Electricity,18,MARUTI,-0.53,-0.0353,Moderate
Electricity,19,TMPV,-0.86,-0.0573,Moderate
Electricity,20,ETERNAL,0.56,0.0373,Moderate
Electricity,21,BAJAJ-AUTO,1.48,0.0987,Moderate
Electricity,22,HINDALCO,1.46,0.0973,Moderate
Electricity,23,COALINDIA,0.72,0.488,Moderate
Electricity,24,GRASIM,0.5,0.3133,Moderate
Electricity,25,JIOFIN,-0.34,-0.0227,Moderate
Electricity,26,ULTRACEMCO,0.03,0.442,Moderate
Electricity,27,SUNPHARMA,1.01,0.0673,Moderate
Electricity,28,INDIGO,-0.89,-0.0593,Moderate
Electricity,29,EICHERMOT,0.64,0.0427,Moderate
Electricity,30,TECHM,-1.14,-0.076,Moderate
Electricity,31,NESTLEIND,1.65,0.11,Moderate
Electricity,32,ADANIENT,-0.29,0.2607,Moderate
Electricity,33,JSWSTEEL,1.6,0.4267,Moderate
Electricity,34,NTPC,-0.76,0.6693,Positive
Electricity,35,HDFCLIFE,2.73,0.182,Moderate
Electricity,36,ONGC,0.36,0.024,Moderate
Electricity,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Electricity,38,HINDUNILVR,1.23,0.082,Moderate
Electricity,39,POWERGRID,0.0,0.72,Positive
Electricity,40,WIPRO,-1.83,-0.122,Moderate
Electricity,41,TITAN,1.08,0.072,Moderate
Electricity,42,ADANIPORTS,0.58,0.2387,Moderate
Electricity,43,TRENT,1.45,0.0967,Moderate
Electricity,44,MAXHEALTH,-0.49,-0.0327,Moderate
Electricity,45,TATACONSUM,1.42,0.0947,Moderate
Electricity,46,ASIANPAINT,0.57,0.038,Moderate
Electricity,47,SBILIFE,2.65,0.1767,Moderate
Electricity,48,DRREDDY,-0.44,-0.0293,Moderate
Electricity,49,CIPLA,0.52,0.0347,Moderate
Electricity,50,BAJAJFINSV,-1.0,-0.0667,Moderate
