MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Gold,1,HDFCBANK,0.69,0.166,Moderate
Gold,2,ICICIBANK,0.62,0.1613,Moderate
Gold,3,RELIANCE,0.38,0.0253,Moderate
Gold,4,SBIN,2.42,0.2813,Moderate
Gold,5,LT,-1.12,-0.0747,Moderate
Gold,6,M&M,1.34,0.0893,Moderate
Gold,7,AXISBANK,1.48,0.2187,Moderate
Gold,8,SHRIRAMFIN,-0.08,0.0747,Moderate
Gold,9,INFY,-1.58,-0.1053,Moderate
Gold,10,TCS,-2.76,-0.184,Moderate
Gold,11,TATASTEEL,-0.35,-0.0233,Moderate
Gold,12,BHARTIARTL,0.25,0.0167,Moderate
Gold,13,KOTAKBANK,1.27,0.2047,Moderate
Gold,14,BAJFINANCE,-0.3,0.06,Moderate
Gold,15,ITC,2.38,0.1587,Moderate
Gold,16,BEL,0.74,0.0493,Moderate
Gold,17,HCLTECH,-0.06,-0.004,Moderate
Gold,18,MARUTI,-0.53,-0.0353,Moderate
Gold,19,TMPV,-0.86,-0.0573,Moderate
Gold,20,ETERNAL,0.56,0.0373,Moderate
Gold,21,BAJAJ-AUTO,1.48,0.0987,Moderate
Gold,22,HINDALCO,1.46,0.0973,Moderate
Gold,23,COALINDIA,0.72,0.048,Moderate
Gold,24,GRASIM,0.5,0.0333,Moderate
Gold,25,JIOFIN,-0.34,0.0573,Moderate
Gold,26,ULTRACEMCO,0.03,0.002,Moderate
Gold,27,SUNPHARMA,1.01,0.0673,Moderate
Gold,28,INDIGO,-0.89,-0.0593,Moderate
Gold,29,EICHERMOT,0.64,0.0427,Moderate
Gold,30,TECHM,-1.14,-0.076,Moderate
Gold,31,NESTLEIND,1.65,0.11,Moderate
Gold,32,ADANIENT,-0.29,-0.0193,Moderate
Gold,33,JSWSTEEL,1.6,0.1067,Moderate
Gold,34,NTPC,-0.76,-0.0507,Moderate
Gold,35,HDFCLIFE,2.73,0.302,Moderate
Gold,36,ONGC,0.36,0.024,Moderate
Gold,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Gold,38,HINDUNILVR,1.23,0.082,Moderate
Gold,39,POWERGRID,0.0,0.0,Moderate
Gold,40,WIPRO,-1.83,-0.122,Moderate
Gold,41,TITAN,1.08,0.792,Positive
Gold,42,ADANIPORTS,0.58,0.0387,Moderate
Gold,43,TRENT,1.45,0.0967,Moderate
Gold,44,MAXHEALTH,-0.49,-0.0327,Moderate
Gold,45,TATACONSUM,1.42,0.0947,Moderate
Gold,46,ASIANPAINT,0.57,0.038,Moderate
Gold,47,SBILIFE,2.65,0.2967,Moderate
Gold,48,DRREDDY,-0.44,-0.0293,Moderate
Gold,49,CIPLA,0.52,0.0347,Moderate
Gold,50,BAJAJFINSV,-1.0,0.0133,Moderate
