MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Natural Gas,1,HDFCBANK,0.69,0.046,Moderate
Natural Gas,2,ICICIBANK,0.62,0.0413,Moderate
Natural Gas,3,RELIANCE,0.38,0.4653,Moderate
Natural Gas,4,SBIN,2.42,0.1613,Moderate
Natural Gas,5,LT,-1.12,-0.0747,Moderate
Natural Gas,6,M&M,1.34,0.0893,Moderate
Natural Gas,7,AXISBANK,1.48,0.0987,Moderate
Natural Gas,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Natural Gas,9,INFY,-1.58,-0.1053,Moderate
Natural Gas,10,TCS,-2.76,-0.184,Moderate
Natural Gas,11,TATASTEEL,-0.35,-0.0233,Moderate
Natural Gas,12,BHARTIARTL,0.25,0.0167,Moderate
Natural Gas,13,KOTAKBANK,1.27,0.0847,Moderate
Natural Gas,14,BAJFINANCE,-0.3,-0.02,Moderate
Natural Gas,15,ITC,2.38,0.1587,Moderate
Natural Gas,16,BEL,0.74,0.0493,Moderate
Natural Gas,17,HCLTECH,-0.06,-0.004,Moderate
Natural Gas,18,MARUTI,-0.53,-0.0353,Moderate
Natural Gas,19,TMPV,-0.86,-0.0573,Moderate
Natural Gas,20,ETERNAL,0.56,0.0373,Moderate
Natural Gas,21,BAJAJ-AUTO,1.48,0.0987,Moderate
Natural Gas,22,HINDALCO,1.46,0.0973,Moderate
Natural Gas,23,COALINDIA,0.72,0.208,Moderate
Natural Gas,24,GRASIM,0.5,0.0333,Moderate
Natural Gas,25,JIOFIN,-0.34,-0.0227,Moderate
Natural Gas,26,ULTRACEMCO,0.03,0.002,Moderate
Natural Gas,27,SUNPHARMA,1.01,0.0673,Moderate
Natural Gas,28,INDIGO,-0.89,-0.0593,Moderate
Natural Gas,29,EICHERMOT,0.64,0.0427,Moderate
Natural Gas,30,TECHM,-1.14,-0.076,Moderate
Natural Gas,31,NESTLEIND,1.65,0.11,Moderate
Natural Gas,32,ADANIENT,-0.29,-0.0193,Moderate
Natural Gas,33,JSWSTEEL,1.6,0.1067,Moderate
Natural Gas,34,NTPC,-0.76,-0.1493,Moderate
Natural Gas,35,HDFCLIFE,2.73,0.182,Moderate
Natural Gas,36,ONGC,0.36,0.664,Positive
Natural Gas,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Natural Gas,38,HINDUNILVR,1.23,0.082,Moderate
Natural Gas,39,POWERGRID,0.0,0.0,Moderate
Natural Gas,40,WIPRO,-1.83,-0.122,Moderate
Natural Gas,41,TITAN,1.08,0.072,Moderate
Natural Gas,42,ADANIPORTS,0.58,0.0387,Moderate
Natural Gas,43,TRENT,1.45,0.0967,Moderate
Natural Gas,44,MAXHEALTH,-0.49,-0.0327,Moderate
Natural Gas,45,TATACONSUM,1.42,0.0947,Moderate
Natural Gas,46,ASIANPAINT,0.57,-0.158,Moderate
Natural Gas,47,SBILIFE,2.65,0.1767,Moderate
Natural Gas,48,DRREDDY,-0.44,-0.0293,Moderate
Natural Gas,49,CIPLA,0.52,0.0347,Moderate
Natural Gas,50,BAJAJFINSV,-1.0,-0.0667,Moderate
