MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
NIFTY 50,1,HDFCBANK,0.69,0.769,Positive
NIFTY 50,2,ICICIBANK,0.62,0.762,Positive
NIFTY 50,3,RELIANCE,0.38,0.738,Positive
NIFTY 50,4,SBIN,2.42,0.942,Positive
NIFTY 50,5,LT,-1.12,0.588,Positive
NIFTY 50,6,M&M,1.34,0.834,Positive
NIFTY 50,7,AXISBANK,1.48,0.848,Positive
NIFTY 50,8,SHRIRAMFIN,-0.08,0.692,Positive
NIFTY 50,9,INFY,-1.58,0.542,Moderate
NIFTY 50,10,TCS,-2.76,0.424,Moderate
NIFTY 50,11,TATASTEEL,-0.35,0.665,Positive
NIFTY 50,12,BHARTIARTL,0.25,0.725,Positive
NIFTY 50,13,KOTAKBANK,1.27,0.827,Positive
NIFTY 50,14,BAJFINANCE,-0.3,0.67,Positive
NIFTY 50,15,ITC,2.38,0.938,Positive
NIFTY 50,16,BEL,0.74,0.774,Positive
NIFTY 50,17,HCLTECH,-0.06,0.694,Positive
NIFTY 50,18,MARUTI,-0.53,0.647,Positive
NIFTY 50,19,TMPV,-0.86,0.614,Positive
NIFTY 50,20,ETERNAL,0.56,0.756,Positive
NIFTY 50,21,BAJAJ-AUTO,1.48,0.848,Positive
NIFTY 50,22,HINDALCO,1.46,0.846,Positive
NIFTY 50,23,COALINDIA,0.72,0.772,Positive
NIFTY 50,24,GRASIM,0.5,0.75,Positive
NIFTY 50,25,JIOFIN,-0.34,0.666,Positive
NIFTY 50,26,ULTRACEMCO,0.03,0.703,Positive
NIFTY 50,27,SUNPHARMA,1.01,0.801,Positive
NIFTY 50,28,INDIGO,-0.89,0.611,Positive
NIFTY 50,29,EICHERMOT,0.64,0.764,Positive
NIFTY 50,30,TECHM,-1.14,0.586,Positive
NIFTY 50,31,NESTLEIND,1.65,0.865,Positive
NIFTY 50,32,ADANIENT,-0.29,0.671,Positive
NIFTY 50,33,JSWSTEEL,1.6,0.86,Positive
NIFTY 50,34,NTPC,-0.76,0.624,Positive
NIFTY 50,35,HDFCLIFE,2.73,0.973,Positive
NIFTY 50,36,ONGC,0.36,0.736,Positive
NIFTY 50,37,APOLLOHOSP,-0.2,0.68,Positive
NIFTY 50,38,HINDUNILVR,1.23,0.823,Positive
NIFTY 50,39,POWERGRID,0.0,0.7,Positive
NIFTY 50,40,WIPRO,-1.83,0.517,Moderate
NIFTY 50,41,TITAN,1.08,0.808,Positive
NIFTY 50,42,ADANIPORTS,0.58,0.758,Positive
NIFTY 50,43,TRENT,1.45,0.845,Positive
NIFTY 50,44,MAXHEALTH,-0.49,0.651,Positive
NIFTY 50,45,TATACONSUM,1.42,0.842,Positive
NIFTY 50,46,ASIANPAINT,0.57,0.757,Positive
NIFTY 50,47,SBILIFE,2.65,0.965,Positive
NIFTY 50,48,DRREDDY,-0.44,0.656,Positive
NIFTY 50,49,CIPLA,0.52,0.752,Positive
NIFTY 50,50,BAJAJFINSV,-1.0,0.6,Positive
