MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Silver,1,HDFCBANK,0.69,0.046,Moderate
Silver,2,ICICIBANK,0.62,0.0413,Moderate
Silver,3,RELIANCE,0.38,0.0253,Moderate
Silver,4,SBIN,2.42,0.1613,Moderate
Silver,5,LT,-1.12,-0.0747,Moderate
Silver,6,M&M,1.34,0.0893,Moderate
Silver,7,AXISBANK,1.48,0.0987,Moderate
Silver,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Silver,9,INFY,-1.58,-0.1053,Moderate
Silver,10,TCS,-2.76,-0.184,Moderate
Silver,11,TATASTEEL,-0.35,-0.0233,Moderate
Silver,12,BHARTIARTL,0.25,0.0167,Moderate
Silver,13,KOTAKBANK,1.27,0.0847,Moderate
Silver,14,BAJFINANCE,-0.3,-0.02,Moderate
Silver,15,ITC,2.38,0.1587,Moderate
Silver,16,BEL,0.74,0.0493,Moderate
Silver,17,HCLTECH,-0.06,-0.004,Moderate
Silver,18,MARUTI,-0.53,-0.0353,Moderate
Silver,19,TMPV,-0.86,-0.0573,Moderate
Silver,20,ETERNAL,0.56,0.0373,Moderate
Silver,21,BAJAJ-AUTO,1.48,0.0987,Moderate
Silver,22,HINDALCO,1.46,0.0973,Moderate
Silver,23,COALINDIA,0.72,0.048,Moderate
Silver,24,GRASIM,0.5,0.0333,Moderate
Silver,25,JIOFIN,-0.34,-0.0227,Moderate
Silver,26,ULTRACEMCO,0.03,0.002,Moderate
Silver,27,SUNPHARMA,1.01,0.0673,Moderate
Silver,28,INDIGO,-0.89,-0.0593,Moderate
Silver,29,EICHERMOT,0.64,0.0427,Moderate
Silver,30,TECHM,-1.14,-0.076,Moderate
Silver,31,NESTLEIND,1.65,0.11,Moderate
Silver,32,ADANIENT,-0.29,-0.0193,Moderate
Silver,33,JSWSTEEL,1.6,0.1067,Moderate
Silver,34,NTPC,-0.76,-0.0507,Moderate
Silver,35,HDFCLIFE,2.73,0.182,Moderate
Silver,36,ONGC,0.36,0.024,Moderate
Silver,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Silver,38,HINDUNILVR,1.23,0.082,Moderate
Silver,39,POWERGRID,0.0,0.0,Moderate
Silver,40,WIPRO,-1.83,-0.122,Moderate
Silver,41,TITAN,1.08,0.272,Moderate
Silver,42,ADANIPORTS,0.58,0.0387,Moderate
Silver,43,TRENT,1.45,0.0967,Moderate
Silver,44,MAXHEALTH,-0.49,-0.0327,Moderate
Silver,45,TATACONSUM,1.42,0.0947,Moderate
Silver,46,ASIANPAINT,0.57,0.038,Moderate
Silver,47,SBILIFE,2.65,0.1767,Moderate
Silver,48,DRREDDY,-0.44,-0.0293,Moderate
Silver,49,CIPLA,0.52,0.0347,Moderate
Silver,50,BAJAJFINSV,-1.0,-0.0667,Moderate
