MARKET,RANK,SYMBOL,PCT_CHANGE,LINKAGE_SCORE,RELATION
Zinc,1,HDFCBANK,0.69,0.046,Moderate
Zinc,2,ICICIBANK,0.62,0.0413,Moderate
Zinc,3,RELIANCE,0.38,0.0253,Moderate
Zinc,4,SBIN,2.42,0.1613,Moderate
Zinc,5,LT,-1.12,-0.0747,Moderate
Zinc,6,M&M,1.34,0.2893,Moderate
Zinc,7,AXISBANK,1.48,0.0987,Moderate
Zinc,8,SHRIRAMFIN,-0.08,-0.0053,Moderate
Zinc,9,INFY,-1.58,-0.1053,Moderate
Zinc,10,TCS,-2.76,-0.184,Moderate
Zinc,11,TATASTEEL,-0.35,0.2567,Moderate
Zinc,12,BHARTIARTL,0.25,0.0167,Moderate
Zinc,13,KOTAKBANK,1.27,0.0847,Moderate
Zinc,14,BAJFINANCE,-0.3,-0.02,Moderate
Zinc,15,ITC,2.38,0.1587,Moderate
Zinc,16,BEL,0.74,0.0493,Moderate
Zinc,17,HCLTECH,-0.06,-0.004,Moderate
Zinc,18,MARUTI,-0.53,0.1647,Moderate
Zinc,19,TMPV,-0.86,0.1427,Moderate
Zinc,20,ETERNAL,0.56,0.0373,Moderate
Zinc,21,BAJAJ-AUTO,1.48,0.2987,Moderate
Zinc,22,HINDALCO,1.46,0.0973,Moderate
Zinc,23,COALINDIA,0.72,0.048,Moderate
Zinc,24,GRASIM,0.5,0.0333,Moderate
Zinc,25,JIOFIN,-0.34,-0.0227,Moderate
Zinc,26,ULTRACEMCO,0.03,0.002,Moderate
Zinc,27,SUNPHARMA,1.01,0.0673,Moderate
Zinc,28,INDIGO,-0.89,-0.0593,Moderate
Zinc,29,EICHERMOT,0.64,0.0427,Moderate
Zinc,30,TECHM,-1.14,-0.076,Moderate
Zinc,31,NESTLEIND,1.65,0.11,Moderate
Zinc,32,ADANIENT,-0.29,-0.0193,Moderate
Zinc,33,JSWSTEEL,1.6,0.3867,Moderate
Zinc,34,NTPC,-0.76,-0.0507,Moderate
Zinc,35,HDFCLIFE,2.73,0.182,Moderate
Zinc,36,ONGC,0.36,0.024,Moderate
Zinc,37,APOLLOHOSP,-0.2,-0.0133,Moderate
Zinc,38,HINDUNILVR,1.23,0.082,Moderate
Zinc,39,POWERGRID,0.0,0.0,Moderate
Zinc,40,WIPRO,-1.83,-0.122,Moderate
Zinc,41,TITAN,1.08,0.072,Moderate
Zinc,42,ADANIPORTS,0.58,0.0387,Moderate
Zinc,43,TRENT,1.45,0.0967,Moderate
Zinc,44,MAXHEALTH,-0.49,-0.0327,Moderate
Zinc,45,TATACONSUM,1.42,0.0947,Moderate
Zinc,46,ASIANPAINT,0.57,0.038,Moderate
Zinc,47,SBILIFE,2.65,0.1767,Moderate
Zinc,48,DRREDDY,-0.44,-0.0293,Moderate
Zinc,49,CIPLA,0.52,0.0347,Moderate
Zinc,50,BAJAJFINSV,-1.0,-0.0667,Moderate
